name,price,in_stock
Мезофильная закваска для сыра Биоантибут,108,Есть в наличии
"Закваска ПроСыр ""Камамбер и бри""",229,Есть в наличии
"Закваска ПроСыр ""Гауда и эдам""",229,Есть в наличии
Мезофильная закваска для сыра БК-Углич-5А,108,Есть в наличии
"Закваска ПроСыр ""Сметана, творог и филадельфия""",229,Есть в наличии
"Закваска для сыра ПроСыр ""Фермерская""",319,Есть в наличии
Мезофильная закваска Chr.Hansen CHN-19 (50U),1050,Есть в наличии
Мезофильная закваска для сыра БК-Углич-С (1ЕА),269,Есть в наличии
Мезофильная закваска Danisco CHOOZIT MA 11/16 (25 DCU),595,Есть в наличии
"Закваска ПроСыр ""Домашний сыр, фета и брынза""",229,Есть в наличии
Мезо-термофильная закваска SU CASU LYO 500 DCU,8690,Есть в наличии
Мезо-термофильная закваска Sacco MS 062/064/066 CM (5U),790,Есть в наличии
Мезо-термофильная закваска SU CASU LYO 50 DCU,995,Есть в наличии
Фермерская закваска Danisco MA 4001/4002 (5 DCU),290,Есть в наличии
Фермерская закваска Danisco MA 4001/4002 (25 DCU),565,Есть в наличии
Мезофильная закваска Danisco CHOOZIT MM 101 (250 DCU),4300,Есть в наличии
Мезофильная закваска MicroMilk MM50 (10U),590,Есть в наличии
Мезофильная закваска MicroMilk MM30 (50U),1240,Есть в наличии
Мезофильная закваска MicroMilk MM40 (50U),1240,Есть в наличии
Мезофильная закваска MicroMilk MM30 (10 U),590,Есть в наличии
Мезофильная закваска MicroMilk MM40 (10U),590,Есть в наличии
Мезо-термофильная закваска Hansen RSF-742 (50U),1050,Есть в наличии
Мезофильная закваска MicroMilk MM20 (50U),1240,Есть в наличии
Закваска Chr.Hansen Selection Danica (10U) на 100 литров молока,410,Есть в наличии
Мезо-термофильная закваска Hansen WhiteDaily 40 (50U),1050,Есть в наличии
Закваска Chr.Hansen Selection Daily (10U) на 100 литров молока,410,Есть в наличии
Мезо-термофильная закваска Chr.Hansen DCC-260 (350U),3950,Есть в наличии
Закваска мезофильная Hansen Flora Danica (50U),950,Есть в наличии
Закваска мезофильная Hansen Flora Danica (500U) на 5 тонн,6690,Есть в наличии
"Мезофильная закваска для сыра БК-Углич-МСТ (0,1 ЕА)",108,Есть в наличии
Закваска мезофильная Hansen Flora Danica (200U) на 2 тонны,3290,Есть в наличии
Закваска «Полутвердый сыр» Lactoferm ECO - на 250 литров молока,695,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC DHC 10/11 (5U),1190,Нет в наличии
Закваска Danisco Choosit Probat 222 LYO (50 DCU),1550,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC DHC 10/11 (1U),425,Нет в наличии
Мезофильная закваска Sacco M 030/031/032 R (5U),990,Есть в наличии
Мезофильная закваска Sacco M 030/031/032 R (10U),1350,Есть в наличии
Вспомогательная закваска для сыра и творога БК-Углич-ЛД,275,Нет в наличии
Мезофильная закваска Sacco MO 030/031/032 (10U),1790,Есть в наличии
Мезо-термофильная закваска Sacco MS 062/064/066 CM (10U),1140,Есть в наличии
Мезо-термофильная закваска Standa CHEESE MIX 188 D 2U (на 200 литров молока),1130,Есть в наличии
Мезофильная закваска Standa LC3 D 2U (на 200 литров молока),635,Есть в наличии
Мезо-термофильная закваска Standa CHEESE MIX 8D 2U (на 200 литров молока),1490,Есть в наличии
Мезофильная закваска Standa 322 D 2U (на 200 литров молока),1805,Есть в наличии
Мезофильная закваска Standa LC2 D 2U (на 100 литров молока),995,Есть в наличии
Мезо-термофильная закваска Standa PAL TEX 100l (на 100 литров молока),985,Есть в наличии
Мезофильная закваска Standa 122 D 2U (на 200 литров молока),1110,Есть в наличии
Мезофильная закваска Standa PAL 222 D 2U (на 200 литров молока),1705,Есть в наличии
Мезо-термофильная закваска Standa CHEESE MIX 1D (2U) ,1188,Есть в наличии
Мезофильная закваска LYOBAC FD 1/2 (20U),3475,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC OTC 5/6 (5U),1190,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC OTC 5/6 (20U),3655,Есть в наличии
Мезо-термофильная закваска ALCE LYOBAC TW (1U),425,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC DHC 10/11 (20U),3575,Есть в наличии
Закваска для сыра и творога ALCE LYOBAC NT (1U),425,Есть в наличии
Мезофильная закваска ALCE LYOBAC FD 1/2 (1U),590,Есть в наличии
Закваска для Чеддера ALCE LYOBAC OTC 5/6 (1U),590,Есть в наличии
Термофильно-мезофильная закваска Lactoferm-Biochem EM 20U (на 5 тонн),3250,Есть в наличии
Фермерская закваска Lactoferm-Biochem MSY (10U),1445,Есть в наличии
Закваска Lactoferm-Biochem MSO (20U),2650,Есть в наличии
Закваска Lactoferm-Biochem MSO (5U),1035,Есть в наличии
Закваска Lactoferm-Biochem MSE (10U),1445,Есть в наличии
Закваска Lactoferm-Biochem MSO (10U),1445,Есть в наличии
Закваска Lactoferm-Biochem MFC (10U),1445,Есть в наличии
"Закваска Клеричи (Clerici) GAL1/GAL2, 50 единиц",979,Есть в наличии
Закваска Danisco CHOOZIT RM 32/34 LYO (50 DCU),1350,Есть в наличии
Закваска Danisco CHOOZIT RM 32/34 LYO (325 DCU),4550,Есть в наличии
Ускоритель созревания сыра БК-Углич-№7К (1ЕА),269,Есть в наличии
Закваска «Защитная» Lactoferm ECO - на 250 литров молока,695,Есть в наличии
"Ускоритель созревания сыра БК-Углич-№7К (0,1ЕА)",108,Есть в наличии
Закваска «Фермерский сыр» Lactoferm ECO - на 250 литров молока,695,Есть в наличии
Закваска «Мягкий сыр» Lactoferm ECO - на 250 литров молока,695,Есть в наличии
Мезофильная закваска Danisco Choozit  BT 01/02 LYO (50 DCU),1395,Есть в наличии
Мезо-термофильная закваска Биоантибут-ТП,269,Есть в наличии
Ароматообразующая закваска Danisco MD88/89/99 (50 DCU),1125,Есть в наличии
Закваска мезофильная Chr.Hansen R-703 (50U),1315,Есть в наличии
Мезофильная закваска для сыра БК-Углич-№6,269,Есть в наличии
Закваска мезофильная Chr.Hansen MO-10 (50U),1215,Есть в наличии
Мезофильная закваска для сыра и творога БК-Углич-№7 (1ЕА),269,Есть в наличии
Мезофильная закваска Chr.Hansen CHN-19 (500U),6650,Есть в наличии
Мезофильная закваска Danisco CHOOZIT MM 101 (25 DCU),645,Есть в наличии
Мезофильная закваска Chr.Hansen CHN-19 (200U),3050,Есть в наличии
Мезофильная закваска для сыра БК-Углич-№4 (1ЕА),269,Есть в наличии
"Закваска ПроСыр ""Для сыра из козьего молока""",229,Есть в наличии
